Ticker,Company Name,Industry,Sector,Year, Market Cap , Tangible Book Value , Goodwill , Other Intangible Assets ,Multiplier,Data Value ,Data Value as % of Market Cap
ACN,Accenture plc,Information Technology Services,Technology,2022,1.76E+11,7682987000,13133293000,1930808000,0.45,82494184127,0.4689
ACN,Accenture plc,Information Technology Services,Technology,2021,2.02E+11,7260315000,11125861000,1710938000,0.45,93258117554,0.4624
ACN,Accenture plc,Information Technology Services,Technology,2020,1.42E+11,,,,0.45,63840726772,0.45
ADBE,Adobe Inc.,Software - Application,Technology,2024,2.22E+11,535000000,12788000000,782000000,0.1625,38157712437,0.1721
ADBE,Adobe Inc.,Software - Application,Technology,2023,2.62E+11,2625000000,12805000000,1088000000,0.1625,44401557750,0.1695
ADBE,Adobe Inc.,Software - Application,Technology,2022,1.44E+11,-185000000,12787000000,1449000000,0.1625,25667260366,0.1788
ADBE,Adobe Inc.,Software - Application,Technology,2021,2.82E+11,309000000,12668000000,1820000000,0.1625,48074752650,0.1707
ADBE,Adobe Inc.,Software - Application,Technology,2020,2.04E+11,,,,0.1625,33206695538,0.1625
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,2024,2.00E+11,13799000000,24839000000,18930000000,0.1625,37324423387,0.1869
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,2023,2.30E+11,10267000000,24262000000,21363000000,0.1625,43196936008,0.1874
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,2022,1.04E+11,6455000000,24177000000,24118000000,0.1625,23656819539,0.228
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,2021,2.41E+11,7174000000,289000000,34000000,0.1625,37990167400,0.1579
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,2020,1.49E+11,,,,0.1625,24148231137,0.1625
AES,The AES Corporation,Utilities - Diversified,Utilities,2024,9038938909,5757000000,345000000,1602000000,0.1625,849702572.7,0.094
AES,The AES Corporation,Utilities - Diversified,Utilities,2023,12921672538,3742000000,348000000,1895000000,0.1625,1856184287,0.1436
AES,The AES Corporation,Utilities - Diversified,Utilities,2022,18477669456,2663000000,362000000,1479000000,0.1625,2869046287,0.1553
AES,The AES Corporation,Utilities - Diversified,Utilities,2021,15258261459,3117000000,1177000000,273000000,0.1625,2208579987,0.1447
AES,The AES Corporation,Utilities - Diversified,Utilities,2020,14370071195,,,,0.1625,2335136569,0.1625
AFL,Aflac Incorporated,Insurance - Life,Financial Services,2024,55993945984,26098000000,,,0.1625,4858091222,0.0868
AFL,Aflac Incorporated,Insurance - Life,Financial Services,2023,43797067593,21985000000,,,0.1625,3544460984,0.0809
AFL,Aflac Incorporated,Insurance - Life,Financial Services,2022,37313810291,20140000000,,,0.1625,2790744172,0.0748
AFL,Aflac Incorporated,Insurance - Life,Financial Services,2021,29701307675,33253000000,,,0.1625,-577150002.8,-0.0194
AFL,Aflac Incorporated,Insurance - Life,Financial Services,2020,21661977308,,,,0.1625,3520071313,0.1625
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,2024,37995298441,874000000,4477000000,547000000,0.1625,6848610997,0.1802
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,2023,29395461766,1410000000,3960000000,475000000,0.1625,5268325037,0.1792
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,2022,38522974576,532000000,3952000000,821000000,0.1625,6949145869,0.1804
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,2021,43836828986,433000000,3975000000,981000000,0.1625,7858472210,0.1793
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,2020,29019592455,,,,0.1625,4715683774,0.1625
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,Basic Materials,2024,64641068692,17457000000,905100000,311600000,0.1625,7865124912,0.1217
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,Basic Materials,2023,61113858635,14464000000,861700000,334600000,0.1625,7775000778,0.1272
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,Basic Materials,2022,49317932956,12531900000,823000000,347500000,0.1625,6167936605,0.1251
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,Basic Materials,2021,52965941903,12755800000,911500000,420700000,0.1625,6750630559,0.1275
APD,"Air Products and Chemicals, Inc.",Specialty Chemicals,Basic Materials,2020,58957517122,,,,0.1625,9580596532,0.1625
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,2024,57653083307,7635000000,750000000,27000000,0.1625,8254201037,0.1432
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,2023,58749446883,7373000000,752000000,40000000,0.1625,8477372619,0.1443
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,2022,36818352687,4876000000,650000000,34000000,0.1625,5301782312,0.144
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,2021,73439436993,4070000000,653000000,52000000,0.1625,11387096011,0.1551
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,2020,63492664780,,,,0.1625,10317558027,0.1625
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,2024,14408481238,999695000,3151077000,727585000,0.1625,2809210339,0.195
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,2023,17687489377,1210542000,2850470000,536143000,0.1625,3227828561,0.1825
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,2022,12697612036,1154633000,2763838000,441716000,0.1625,2396636618,0.1887
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,2021,17680617867,2060535000,2156254000,313225000,0.1625,2939553803,0.1663
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,2020,15899735985,,,,0.1625,2583707098,0.1625
ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,2024,10191639201,8386221000,1582714000,230753000,0.1625,588068845.2,0.0577
ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,2023,16764253718,7773512000,1629729000,261858000,0.1625,1768378417,0.1055
ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,2022,24757153058,6285350000,1617627000,287870000,0.1625,3311311259,0.1338
ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,2021,26678453687,3899033000,1597627000,308947000,0.1625,4011474137,0.1504
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,Real Estate,2024,16905542286,22398461000,,,0.1625,-892599291,-0.0528
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,Real Estate,2023,21063597219,22622993000,,,0.1625,-253401814.4,-0.012
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,Real Estate,2022,22935124473,22683247000,,,0.1625,40930089.39,0.0018
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,Real Estate,2021,33967983658,19033250000,,,0.1625,2426894219,0.0714
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,Real Estate,2020,26174710975,,,,0.1625,4253390533,0.1625
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,2024,15440408357,3305867000,442630000,103488000,0.1625,2060607146,0.1335
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,2023,19836025306,3128841000,419530000,82118000,0.1625,2796435250,0.141
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,2022,15530565492,3098087000,407551000,95720000,0.1625,2102059292,0.1353
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,2021,47961768344,3094458000,418547000,109709000,0.1625,7376779531,0.1538
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,2020,38660378162,,,,0.1625,6282311451,0.1625
ALLE,Allegion plc,Security & Protection Services,Industrials,2024,11295125576,-557700000,1489400000,569000000,0.1625,2260574156,0.2001
ALLE,Allegion plc,Security & Protection Services,Industrials,2023,10688384570,-697600000,1443100000,572800000,0.1625,2177806243,0.2038
ALLE,Allegion plc,Security & Protection Services,Industrials,2022,8947310462,-1077500000,1413100000,608900000,0.1625,1957606700,0.2188
ALLE,Allegion plc,Security & Protection Services,Industrials,2021,10890751558,-488900000,803800000,447500000,0.1625,2052529628,0.1885
ALLE,Allegion plc,Security & Protection Services,Industrials,2020,9419252870,,,,0.1625,1530628591,0.1625
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,2024,15037063526,7004000000,,,0.1625,1305372823,0.0868
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,2023,12621484320,6777000000,,,0.1625,949728701.9,0.0752
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,2022,13187570431,6276000000,,,0.1625,1123130195,0.0852
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,2021,14013477421,5990000000,,,0.1625,1303815081,0.093
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,2020,11331158097,,,,0.1625,1841313191,0.1625
ALL,The Allstate Corporation,Insurance - Property & Casualty,Financial Services,2024,50902230121,17368000000,3245000000,754000000,0.1625,6099149895,0.1198
ALL,The Allstate Corporation,Insurance - Property & Casualty,Financial Services,2023,36663499448,13162000000,3502000000,966000000,0.1625,4545043660,0.124
ALL,The Allstate Corporation,Insurance - Property & Casualty,Financial Services,2022,34221457312,12684000000,3502000000,1177000000,0.1625,4260174313,0.1245
ALL,The Allstate Corporation,Insurance - Property & Casualty,Financial Services,2021,28795882078,20205000000,3502000000,1420000000,0.1625,2195843338,0.0763
ALL,The Allstate Corporation,Insurance - Property & Casualty,Financial Services,2020,25733155145,,,,0.1625,4181637711,0.1625
GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,2024,1.12E+12,,31885000000,,0.45,5.16918E+11,0.4628
GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,2023,8.09E+11,,29198000000,,0.45,3.77112E+11,0.4662
GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,2022,5.10E+11,2.25E+11,28960000000,2084000000,0.45,1.42253E+11,0.2788
GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,2021,8.47E+11,2.27E+11,22956000000,1417000000,0.45,2.8999E+11,0.3422
GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,2020,5.08E+11,,,1445000000,0.45,2.29147E+11,0.4513
GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,2024,1.06E+12,,31885000000,,0.45,4.91232E+11,0.4635
GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,2023,7.69E+11,,29198000000,,0.45,3.59376E+11,0.4671
GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,2022,4.84E+11,2.25E+11,28960000000,2084000000,0.45,1.30347E+11,0.2695
GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,2021,7.98E+11,2.27E+11,22956000000,1417000000,0.45,2.67865E+11,0.3356
GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,2020,4.79E+11,,,1445000000,0.45,2.16184E+11,0.4514
MO,"Altria Group, Inc.",Tobacco,Consumer Defensive,2024,87189224770,-15161000000,6945000000,6028000000,0.1625,18740024025,0.2149
MO,"Altria Group, Inc.",Tobacco,Consumer Defensive,2023,62385617980,-17176000000,6791000000,6895000000,0.1625,15152737922,0.2429
MO,"Altria Group, Inc.",Tobacco,Consumer Defensive,2022,64199290506,-16307000000,5177000000,7207000000,0.1625,15094672207,0.2351
MO,"Altria Group, Inc.",Tobacco,Consumer Defensive,2021,61653750594,-13912000000,5177000000,7129000000,0.1625,14279159472,0.2316
MO,"Altria Group, Inc.",Tobacco,Consumer Defensive,2020,49375617822,,,,0.1625,8023537896,0.1625
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,2024,2.36E+12,2.54E+11,23074000000,8602000000,0.1625,3.47256E+11,0.1472
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,2023,1.60E+12,1.71E+11,22789000000,7687000000,0.1625,2.36659E+11,0.1482
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,2022,8.90E+11,1.20E+11,20288000000,6097000000,0.1625,1.29502E+11,0.1455
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,2021,1.79E+12,1.18E+11,15371000000,5107000000,0.1625,2.75185E+11,0.1537
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,2020,1.73E+12,,,,0.1625,2.81316E+11,0.1625
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,2024,13563984278,-2783000000,5345000000,1391000000,0.1625,3750984945,0.2765
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,2023,13179982867,-2800000000,5366000000,1524000000,0.1625,3716372216,0.282
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,2022,15753722812,-2801000000,5285000000,1657000000,0.1625,4143217457,0.263
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,2021,14043044246,-2433000000,5419000000,1835000000,0.1625,3856132190,0.2746
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,2020,11845747795,,,,0.1625,1924934017,0.1625
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,2024,24024502842,11832000000,411000000,,0.1625,2048069212,0.0852
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,2023,18880225551,11067000000,411000000,,0.1625,1336436652,0.0708
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,2022,22453353313,10226000000,411000000,,0.1625,2053732413,0.0915
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,2021,21673754437,9418000000,411000000,,0.1625,2058347596,0.095
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,2020,18334747654,,,,0.1625,2979396494,0.1625
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,Utilities,2024,48746556387,26933600000,52500000,,0.1625,3553136663,0.0729
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,Utilities,2023,41686232558,25233400000,52500000,,0.1625,2682116541,0.0643
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,Utilities,2022,46645959962,24069900000,52500000,,0.1625,3677140994,0.0788
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,Utilities,2021,41746064562,22627700000,52500000,,0.1625,3115265491,0.0746
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,Utilities,2020,37271083162,,,,0.1625,6056551014,0.1625
AXP,American Express Company,Credit Services,Financial Services,2024,2.10E+11,25954000000,4187000000,123000000,0.45,84760566681,0.4036
AXP,American Express Company,Credit Services,Financial Services,2023,1.29E+11,24108000000,3851000000,98000000,0.45,49160214924,0.3799
AXP,American Express Company,Credit Services,Financial Services,2022,1.00E+11,20779000000,3786000000,146000000,0.45,37532374196,0.3744
AXP,American Express Company,Credit Services,Financial Services,2021,1.12E+11,18172000000,3804000000,201000000,0.45,43861807674,0.3929
AXP,American Express Company,Credit Services,Financial Services,2020,79076971206,,,,0.45,35584637043,0.45
AIG,"American International Group, Inc.",Insurance - Diversified,Financial Services,2024,43053720705,39177000000,3373000000,,0.1625,1178079615,0.0274
AIG,"American International Group, Inc.",Insurance - Diversified,Financial Services,2023,39310247532,,,,0.1625,6387915224,0.1625
AIG,"American International Group, Inc.",Insurance - Diversified,Financial Services,2022,35716330750,39527000000,3927000000,,0.1625,18903746.91,0.0005
AIG,"American International Group, Inc.",Insurance - Diversified,Financial Services,2021,31541252603,64856000000,4056000000,,0.1625,-4754546452,-0.1507
AIG,"American International Group, Inc.",Insurance - Diversified,Financial Services,2020,20097694315,,4074000000,,0.1625,3927900326,0.1954
AMT,American Tower Corporation,REIT - Specialty,Real Estate,2024,85166767992,-4825600000,11768100000,2706200000,0.1625,16975833549,0.1993
AMT,American Tower Corporation,REIT - Specialty,Real Estate,2023,97744834968,-5066900000,12083500000,3848800000,0.1625,19295905682,0.1974
AMT,American Tower Corporation,REIT - Specialty,Real Estate,2022,93443423001,-5574800000,12956700000,5026600000,0.1625,19012747488,0.2035
AMT,American Tower Corporation,REIT - Specialty,Real Estate,2021,1.23E+11,-11657600000,13350100000,7377100000,0.1625,25201265672,0.2054
AMT,American Tower Corporation,REIT - Specialty,Real Estate,2020,92414810767,,,,0.1625,15017406750,0.1625
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,Utilities,2024,24155225802,,1144000000,,0.1625,4111124193,0.1702
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,Utilities,2023,25127726439,,1143000000,,0.1625,4268993046,0.1699
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,Utilities,2022,28669510490,,1143000000,,0.1625,4844532955,0.169
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,Utilities,2021,33850729528,,1139000000,,0.1625,5685831048,0.168
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,Utilities,2020,27173627039,,,55000000,0.1625,4424651894,0.1628
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,2024,51073608645,5228000000,,,0.1625,7449911405,0.1459
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,2023,35789390772,4729000000,,,0.1625,5047313500,0.141
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,2022,28751117723,3803000000,,,0.1625,4054069130,0.141
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,2021,27934476962,5941000000,,,0.1625,3573940006,0.1279
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,2020,17081303716,,,,0.1625,2775711854,0.1625
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,2024,41654628676,-815746000,6555877000,3915173000,0.1625,8602981510,0.2065
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,2023,37387671847,-1882755000,6447629000,4165317000,0.1625,8106048088,0.2168
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,2022,31829158932,-1238135000,5372562000,3342085000,0.1625,6789565401,0.2133
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,2021,32982103190,-1735471000,5238726000,3368629000,0.1625,7040300993,0.2135
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,2020,26825585734,,,,0.1625,4359157682,0.1625
AMGN,Amgen Inc.,Drug Manufacturers - General,Healthcare,2024,1.39E+11,-21822000000,18637000000,9062000000,0.1625,30652667405,0.2203
AMGN,Amgen Inc.,Drug Manufacturers - General,Healthcare,2023,1.51E+11,-26409000000,18629000000,14012000000,0.1625,34190038867,0.2259
AMGN,Amgen Inc.,Drug Manufacturers - General,Healthcare,2022,1.31E+11,-12419000000,15529000000,551000000,0.1625,25979083253,0.1978
AMGN,Amgen Inc.,Drug Manufacturers - General,Healthcare,2021,1.10E+11,-8482000000,14890000000,292000000,0.1625,21671844515,0.1976
AMGN,Amgen Inc.,Drug Manufacturers - General,Healthcare,2020,1.07E+11,,,,0.1625,17329349149,0.1625
APH,Amphenol Corporation,Electronic Components,Technology,2024,84629029087,394800000,8236200000,1225100000,0.1625,15225523477,0.1799
APH,Amphenol Corporation,Electronic Components,Technology,2023,58528758562,499300000,7092400000,834800000,0.1625,10717957016,0.1831
APH,Amphenol Corporation,Electronic Components,Technology,2022,45256528267,-86100000,6446100000,734100000,0.1625,8534959593,0.1886
APH,Amphenol Corporation,Electronic Components,Technology,2021,51072023407,-754600000,6376800000,756900000,0.1625,9581052554,0.1876
APH,Amphenol Corporation,Electronic Components,Technology,2020,37626807674,,,,0.1625,6114356247,0.1625
ADI,"Analog Devices, Inc.",Semiconductors,Technology,2024,1.12E+11,-1318922000,26909775000,9585464000,0.1625,24367560393,0.2173
ADI,"Analog Devices, Inc.",Semiconductors,Technology,2023,77753981251,-2659969000,26913134000,11311957000,0.1625,19278844203,0.2479
ADI,"Analog Devices, Inc.",Semiconductors,Technology,2022,67472646444,-3713217000,26913134000,13265406000,0.1625,18096715560,0.2682
ADI,"Analog Devices, Inc.",Semiconductors,Technology,2021,82037982438,-4193098000,26918470000,15267170000,0.1625,20867717071,0.2544
ADI,"Analog Devices, Inc.",Semiconductors,Technology,2020,54902592928,,,,0.1625,8921671351,0.1625
ANSS,"ANSYS, Inc.",Software - Application,Technology,2024,29649097832,1592068000,3778128000,716244000,0.1625,5289602798,0.1784
ANSS,"ANSYS, Inc.",Software - Application,Technology,2023,31115136755,749073000,3805874000,835417000,0.1625,5688695148,0.1828
ANSS,"ANSYS, Inc.",Software - Application,Technology,2022,21006922498,398401000,3658267000,809183000,0.1625,4074845368,0.194
ANSS,"ANSYS, Inc.",Software - Application,Technology,2021,35331063149,311658000,3409271000,763119000,0.1625,6368666712,0.1803
ANSS,"ANSYS, Inc.",Software - Application,Technology,2020,31701202088,,,,0.1625,5151445339,0.1625
AON,Aon plc,Insurance Brokers,Financial Services,2024,77325835959,-15547000000,15234000000,6743000000,0.1625,18663098343,0.2414
AON,Aon plc,Insurance Brokers,Financial Services,2023,62101451012,-9390000000,8414000000,234000000,0.1625,13022660789,0.2097
AON,Aon plc,Insurance Brokers,Financial Services,2022,63995911215,-9168000000,8292000000,447000000,0.1625,13309223073,0.208
AON,Aon plc,Insurance Brokers,Financial Services,2021,62819496860,-7768000000,8434000000,492000000,0.1625,12920943240,0.2057
AON,Aon plc,Insurance Brokers,Financial Services,2020,43388023945,,,,0.1625,7050553891,0.1625
APA,APA Corporation,Oil & Gas E&P,Energy,2024,8179478549,6362000000,,,0.1625,295340264.3,0.0361
APA,APA Corporation,Oil & Gas E&P,Energy,2023,12604628178,3691000000,,,0.1625,1448464579,0.1149
APA,APA Corporation,Oil & Gas E&P,Energy,2022,15360859592,1345000000,,,0.1625,2277577184,0.1483
APA,APA Corporation,Oil & Gas E&P,Energy,2021,9328471395,-717000000,,,0.1625,1632389102,0.175
APA,APA Corporation,Oil & Gas E&P,Energy,2020,4776078905,,,,0.1625,776112822,0.1625
APO,"Apollo Global Management, Inc.",Asset Management,Financial Services,2024,95875269280,,4327000000,,0.1625,16282868758,0.1698
APO,"Apollo Global Management, Inc.",Asset Management,Financial Services,2023,52166330345,,4329000000,,0.1625,9180491181,0.176
APO,"Apollo Global Management, Inc.",Asset Management,Financial Services,2022,34744272341,10896785000,4322000000,179215000,0.1625,4606664130,0.1326
APO,"Apollo Global Management, Inc.",Asset Management,Financial Services,2021,38951885611,11832154000,117000000,14846000,0.1625,4428381362,0.1137
APO,"Apollo Global Management, Inc.",Asset Management,Financial Services,2020,24902917894,,,23586000,0.1625,4050556883,0.1627
AAPL,Apple Inc.,Consumer Electronics,Technology,2024,3.41E+12,56950000000,,,0.1625,5.44917E+11,0.1598
AAPL,Apple Inc.,Consumer Electronics,Technology,2023,2.57E+12,62146000000,,,0.1625,4.0798E+11,0.1586
AAPL,Apple Inc.,Consumer Electronics,Technology,2022,2.16E+12,50672000000,,,0.1625,3.43348E+11,0.1587
AAPL,Apple Inc.,Consumer Electronics,Technology,2021,2.10E+12,63090000000,,,0.1625,3.30484E+11,0.1576
AAPL,Apple Inc.,Consumer Electronics,Technology,2020,1.68E+12,,,,0.1625,2.72525E+11,0.1625
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,2024,1.49E+11,15020000000,3732000000,249000000,0.1625,22462994911,0.1505
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,2023,1.08E+11,12323000000,3732000000,294000000,0.1625,16147614494,0.15
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,2022,70378827945,8155000000,3700000000,339000000,0.1625,10767709541,0.153
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,2021,1.09E+11,8664000000,3479000000,104000000,0.1625,16955226337,0.155
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,2020,47039372673,,,,0.1625,7643898059,0.1625
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,2024,13836740954,1921000000,5024000000,2140000000,0.1625,3100457905,0.2241
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,2023,20240742600,4294000000,5151000000,2399000000,0.1625,3818220672,0.1886
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,2022,21321269083,1403000000,5106000000,2585000000,0.1625,4486506226,0.2104
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,2021,37878912700,5086000000,2511000000,964000000,0.1625,5893535814,0.1556
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,2020,29681134000,,,,0.1625,4823184275,0.1625
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,Financial Services,2024,34584031186,20040000000,571000000,209000000,0.1625,2490155068,0.072
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,Financial Services,2023,26812437143,17969000000,345000000,41000000,0.1625,1499783536,0.0559
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,Financial Services,2022,22468570877,12459000000,342000000,120000000,0.1625,1701630267,0.0757
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,Financial Services,2021,15886167593,12955011000,344865000,255253000,0.1625,573832121.4,0.0361
